Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Stargazers
11848,1374,464,4437,7,243.0,6573.0,13,3677,42299.0,2,True,True,True,False,False,True,60577
5834,1421,483,1892,6,98.0,262.0,40,820,10595.0,2,True,True,True,True,True,False,60526
23142,1362,3209,62127,111,2228.0,36259.0,555,53460,449723.0,1,True,True,True,False,False,False,60436
5040,709,197,3557,20,274.0,2943.0,4,1632,52241.0,0,True,True,True,False,False,True,60333
1406,346,52,263,6,51.0,59.0,12,171,411.0,2,True,True,True,True,True,False,59926
22532,2573,664,11711,80,1873.0,4130.0,511,5423,131655.0,13,True,True,True,False,False,True,59852
12562,2614,30,445,6,31.0,21.0,79,84,24091.0,6,True,True,True,True,False,False,59774
15403,1299,952,3768,9,36.0,1961.0,12,2424,28256.0,0,True,False,True,False,True,True,59564
18347,2633,495,38533,140,968.0,16155.0,32,5249,330585.0,2,True,False,True,False,False,True,59386
14999,2071,935,11739,253,682.0,4864.0,214,6870,124892.0,3,True,True,True,True,True,False,59334
28121,3823,1703,9073,22,391.0,8648.0,76,7923,101744.0,2,True,True,True,True,False,False,59174
14026,3337,581,1863,2,0.0,82.0,2,843,2535.0,1,True,False,True,False,True,False,58837
11416,1053,12,807,12,296.0,308.0,26,56,16027.0,2,True,True,True,True,True,False,58796
19336,1918,1126,8165,159,290.0,11424.0,99,6269,35768.0,1,True,True,True,True,False,False,58337
10185,1545,212,1974,22,109.0,3222.0,9,827,17183.0,0,True,True,True,False,True,True,58221
4836,629,467,2829,13,17.0,3307.0,491,1783,17105.0,1,True,True,True,True,False,True,57835
4589,606,443,7460,138,823.0,1532.0,26,1872,221479.0,2,True,True,True,True,True,True,57504
20775,3222,282,6612,5,68.0,2177.0,15,2828,32351.0,2,True,False,False,True,False,True,57459
23341,1952,5477,53694,50,668.0,30741.0,323,48802,242764.0,1,True,True,True,False,False,False,57339
10880,2276,222,951,5,4.0,126.0,3,641,5056.0,20,True,False,True,False,True,True,57081
11731,342,3,26,1,137.0,647.0,193,304,6489.0,21,True,True,True,False,False,False,56871
4671,377,1,4,1,3875.0,619.0,461,138,5.0,12,True,True,True,True,False,False,56773
6881,718,384,13323,152,50.0,4705.0,45,6514,287659.0,0,True,True,True,True,False,False,56551
16461,2475,75,1718,5,131.0,2722.0,10,474,13485.0,10,True,True,True,True,False,True,56500
6916,854,310,8005,8,336.0,3787.0,164,1162,47581.0,2,True,True,True,True,False,False,56318
4986,405,777,5653,42,394.0,5329.0,139,4330,33963.0,0,True,True,True,False,False,True,56173
7849,1264,122,611,2,16.0,36.0,53,220,858.0,2,True,True,True,True,False,False,56069
10817,1270,1990,42790,2911,3183.0,26654.0,381,35738,778132.0,0,True,True,True,False,False,True,55325
19468,2004,201,9069,27,2178.0,14721.0,117,1529,227281.0,0,True,True,True,True,False,False,55157
16512,246,259,751,37,88.0,898.0,181,1285,2063.0,2,True,True,True,False,False,True,55123
6835,1333,183,537,2,61.0,316.0,75,422,2964.0,22,True,True,True,True,False,False,54786
12211,2559,249,2459,5,3.0,1299.0,4,1578,22577.0,2,True,False,True,True,False,True,54473
10532,771,3968,21395,258,71.0,13803.0,57,21509,1114023.0,2,True,True,True,False,False,True,54438
24269,2155,2658,29957,32,1573.0,8547.0,611,14843,153050.0,1,True,True,True,True,False,True,54222
8416,483,8,33,1,425.0,166.0,62,64,43676.0,16,True,True,True,True,False,False,53911
6527,660,881,30074,78,286.0,7482.0,89,7821,423062.0,2,True,True,True,False,True,False,53694
7698,367,314,2106,3,342.0,257.0,20,613,402206.0,18,True,False,True,False,True,True,53436
14550,1341,603,4599,7,2263.0,15192.0,259,4770,91788.0,14,True,True,True,True,True,True,53350
26791,1489,2280,116965,6,6695.0,56520.0,1501,39179,567226.0,1,True,True,True,False,False,False,52811
21112,2380,4756,87594,77,383.0,15930.0,460,31177,260045.0,23,True,True,True,False,False,False,52810
2184,381,229,2356,6,265.0,2117.0,59,670,4920.0,9,True,False,True,True,False,True,52178
10589,1468,928,13392,636,1164.0,7957.0,232,13069,449897.0,0,True,True,True,True,True,True,51937
3762,991,291,7086,33,307.0,4807.0,16,3726,125294.0,9,True,True,True,True,False,False,51852
17247,2240,478,1857,1,0.0,815.0,4,3090,3530.0,6,True,False,True,False,False,False,51846
36133,3377,727,26642,18,1246.0,22186.0,186,4064,191761.0,6,True,True,True,True,True,False,51787
3520,468,203,4794,25,111.0,885.0,14,1837,67575.0,0,True,True,True,True,False,True,51389
5303,857,146,5774,14,360.0,704.0,9,772,75750.0,1,True,True,True,True,True,True,51236
9304,1341,79,1746,5,5.0,241.0,1,303,145862.0,2,True,True,True,True,False,True,51167
8541,1671,164,6226,10,377.0,2128.0,19,1513,52740.0,3,True,True,True,True,False,False,50943
5102,1320,208,6747,33,957.0,5251.0,112,766,113055.0,2,True,True,True,True,False,True,50566
15549,2312,107,1275,1,102.0,80.0,5,334,207074.0,2,True,True,True,True,True,False,50527
2533,396,405,10546,21,772.0,9032.0,12,11692,150505.0,0,True,False,True,False,False,True,50498
10993,1511,45,360,3,43.0,456.0,32,356,379.0,15,True,False,True,False,True,False,50321
10020,821,880,6072,23,40.0,6966.0,18,2864,21701.0,0,True,False,True,False,False,True,50298
12617,1482,10,147,1,11.0,47.0,4,19,137830.0,1,True,True,True,True,False,False,50197
3726,445,733,19441,360,217.0,1957.0,57,5630,1130693.0,0,True,True,True,False,False,True,50074
9085,1353,623,6152,6,210.0,3561.0,75,2320,12841.0,1,True,False,True,True,False,False,49524
