Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
Front-End-Checklist,6243,1468,113,697,2,6,138,0,292,65104,2870,,True,False,True,False,True,True
Awesome-Hacking,8504,3711,23,115,1,,,6,86,64870,165,,False,False,True,False,False,False
app-ideas,8398,1803,68,536,9,76,38,281,277,64664,614,,True,True,True,True,False,False
iptv,360,1738,228,26012,7,520,5602,6,5959,64655,109855,JavaScript,True,False,True,False,True,True
elasticsearch,23082,2692,1812,68724,222,3629,28488,473,63230,63750,1077052,Java,True,True,True,False,False,False
reveal.js,16517,1694,307,2964,4,650,1586,88,923,63743,21151,JavaScript,True,True,True,True,True,True
tauri,1710,471,252,3355,63,438,2149,76,3345,63431,75116,Rust,True,True,True,False,False,True
webpack,8737,1499,771,15883,86,190,9305,105,6094,63050,59024,JavaScript,True,True,True,False,False,True
netdata,5520,1377,536,15448,27,245,7079,73,7386,63029,134057,C,True,True,True,False,False,True
flask,15642,2135,700,5066,8,0,2499,0,2399,62931,10207,Python,True,False,True,False,False,True
swift,10073,2516,999,150791,408,5795,7844,697,47914,62689,987529,C++,True,False,True,False,False,False
GitHub-Chinese-Top-Charts,8925,2218,1,558,1,114,150,7,10,61730,46857,Java,True,True,True,True,False,False
godot,11311,1475,2053,54078,11,7862,34011,1693,32502,61279,1278472,C++,True,True,True,False,False,False
express,10461,1721,299,5771,8,113,3621,55,1099,60847,9138,JavaScript,True,False,True,True,False,True
Chart.js,11848,1374,464,4437,7,243,6573,13,3677,60577,42299,JavaScript,True,True,True,False,False,True
awesome-mac,5834,1421,483,1892,6,98,262,40,820,60526,10595,JavaScript,True,True,True,True,True,False
core,23142,1362,3209,62127,111,2228,36259,555,53460,60436,449723,Python,True,True,True,False,False,False
code-server,5040,709,197,3557,20,274,2943,4,1632,60333,52241,TypeScript,True,True,True,False,False,True
resume.github.com,1406,346,52,263,6,51,59,12,171,59926,411,JavaScript,True,True,True,True,True,False
redis,22532,2573,664,11711,80,1873,4130,511,5423,59852,131655,C,True,True,True,False,False,True
interviews,12562,2614,30,445,6,31,21,79,84,59774,24091,Java,True,True,True,True,False,False
redux,15403,1299,952,3768,9,36,1961,12,2424,59564,28256,TypeScript,True,False,True,False,True,True
atom,18347,2633,495,38533,140,968,16155,32,5249,59386,330585,JavaScript,True,False,True,False,False,True
protobuf,14999,2071,935,11739,253,682,4864,214,6870,59334,124892,C++,True,True,True,True,True,False
angular.js,28121,3823,1703,9073,22,391,8648,76,7923,59174,101744,JavaScript,True,True,True,True,False,False
awesome-machine-learning,14026,3337,581,1863,2,0,82,2,843,58837,2535,Python,True,False,True,False,True,False
markdown-here,11416,1053,12,807,12,296,308,26,56,58796,16027,JavaScript,True,True,True,True,True,False
keras,19336,1918,1126,8165,159,290,11424,99,6269,58337,35768,Python,True,True,True,True,False,False
socket.io,10185,1545,212,1974,22,109,3222,9,827,58221,17183,TypeScript,True,True,True,False,True,True
architect-awesome,17699,3307,37,307,1,46,21,16,63,57994,3080,,True,True,True,True,False,False
fastapi,4836,629,467,2829,13,17,3307,491,1783,57835,17105,Python,True,True,True,True,False,True
mermaid,4589,606,443,7460,138,823,1532,26,1872,57504,221479,JavaScript,True,True,True,True,True,True
jquery,20775,3222,282,6612,5,68,2177,15,2828,57459,32351,JavaScript,True,False,False,True,False,True
ansible,23341,1952,5477,53694,50,668,30741,323,48802,57339,242764,Python,True,True,True,False,False,False
Front-end-Developer-Interview-Questions,10880,2276,222,951,5,4,126,3,641,57081,5056,Nunjucks,True,False,True,False,True,True
the-algorithm,11731,342,3,26,1,137,647,193,304,56871,6489,Scala,True,True,True,False,False,False
nocode,4671,377,1,4,1,3875,619,461,138,56773,5,Dockerfile,True,True,True,True,False,False
nest,6881,718,384,13323,152,50,4705,45,6514,56551,287659,TypeScript,True,True,True,True,False,False
shadowsocks-windows,16461,2475,75,1718,5,131,2722,10,474,56500,13485,C#,True,True,True,True,False,True
lodash,6916,854,310,8005,8,336,3787,164,1162,56318,47581,JavaScript,True,True,True,True,False,False
vite,4986,405,777,5653,42,394,5329,139,4330,56173,33963,TypeScript,True,True,True,False,False,True
33-js-concepts,7849,1264,122,611,2,16,36,53,220,56069,858,JavaScript,True,True,True,True,False,False
cs-video-courses,7910,1774,87,327,2,13,103,3,162,55829,518,,True,True,True,True,False,False
awesome-react,6717,1504,610,1973,1,2,92,1,1241,55428,2471,,True,False,True,False,False,False
grafana,10817,1270,1990,42790,2911,3183,26654,381,35738,55325,778132,TypeScript,True,True,True,False,False,True
awesome-interview-questions,7566,1600,142,449,4,5,29,17,208,55229,1096,,True,True,True,True,False,False
echarts,19468,2004,201,9069,27,2178,14721,117,1529,55157,227281,TypeScript,True,True,True,True,False,False
github-readme-stats,16512,246,259,751,37,88,898,181,1285,55123,2063,JavaScript,True,True,True,False,False,True
Apollo-11,6835,1333,183,537,2,61,316,75,422,54786,2964,Assembly,True,True,True,True,False,False
html5-boilerplate,12211,2559,249,2459,5,3,1299,4,1578,54473,22577,JavaScript,True,False,True,True,False,True
gatsby,10532,771,3968,21395,258,71,13803,57,21509,54438,1114023,JavaScript,True,True,True,False,False,True
javascript-questions,7734,1252,188,1292,2,6,210,4,470,54330,3743,,True,True,True,True,False,False
scikit-learn,24269,2155,2658,29957,32,1573,8547,611,14843,54222,153050,Python,True,True,True,True,False,True
awesome-public-datasets,9297,2268,157,760,2,62,47,60,276,54143,989,,True,False,True,False,False,False
stable-diffusion,8416,483,8,33,1,425,166,62,64,53911,43676,Jupyter Notebook,True,True,True,True,False,False
clash_for_windows_pkg,6413,580,3,38,2,252,3890,1,13,53900,42830,,True,False,True,True,False,False
strapi,6527,660,881,30074,78,286,7482,89,7821,53694,423062,JavaScript,True,True,True,False,True,False
HowToCook,7698,367,314,2106,3,342,257,20,613,53436,402206,HTML,True,False,True,False,True,True
element,14550,1341,603,4599,7,2263,15192,259,4770,53350,91788,Vue,True,True,True,True,True,True
cpython,26791,1489,2280,116965,6,6695,56520,1501,39179,52811,567226,Python,True,True,True,False,False,False
rails,21112,2380,4756,87594,77,383,15930,460,31177,52810,260045,Ruby,True,True,True,False,False,False
fzf,2184,381,229,2356,6,265,2117,59,670,52178,4920,Go,True,False,True,True,False,True
superset,10589,1468,928,13392,636,1164,7957,232,13069,51937,449897,TypeScript,True,True,True,True,True,True
syncthing,3762,991,291,7086,33,307,4807,16,3726,51852,125294,Go,True,True,True,True,False,False
Java,17247,2240,478,1857,1,0,815,4,3090,51846,3530,Java,True,False,True,False,False,False
spring-framework,36133,3377,727,26642,18,1246,22186,186,4064,51787,191761,Java,True,True,True,True,True,False
hoppscotch,3520,468,203,4794,25,111,885,14,1837,51389,67575,TypeScript,True,True,True,True,False,True
design-resources-for-developers,10468,956,397,2059,1,1,84,0,1194,51349,4906,,True,True,True,True,False,False
Best-websites-a-programmer-should-visit,6809,1283,278,1144,4,37,70,774,756,51337,1894,,True,True,True,True,True,False
manim,5303,857,146,5774,14,360,704,9,772,51236,75750,Python,True,True,True,True,True,True
awesome-for-beginners,6235,1254,281,462,1,14,110,80,1067,51187,498,,True,False,True,False,False,False
leetcode,9304,1341,79,1746,5,5,241,1,303,51167,145862,JavaScript,True,True,True,True,False,True
awesome-nodejs,5651,1657,347,844,1,0,98,22,1066,51083,1529,,True,False,True,False,False,True
tesseract,8541,1671,164,6226,10,377,2128,19,1513,50943,52740,C++,True,True,True,True,False,False
Semantic-UI,5102,1320,208,6747,33,957,5251,112,766,50566,113055,JavaScript,True,True,True,True,False,True
DeepLearning-500-questions,15549,2312,107,1275,1,102,80,5,334,50527,207074,JavaScript,True,True,True,True,True,False
playwright,2533,396,405,10546,21,772,9032,12,11692,50498,150505,TypeScript,True,False,True,False,False,True
normalize.css,10993,1511,45,360,3,43,456,32,356,50321,379,CSS,True,False,True,False,True,False
react-router,10020,821,880,6072,23,40,6966,18,2864,50298,21701,TypeScript,True,False,True,False,False,True
funNLP,12617,1482,10,147,1,11,47,4,19,50197,137830,Python,True,True,True,True,False,False
supabase,3726,445,733,19441,360,217,1957,57,5630,50074,1130693,TypeScript,True,True,True,False,False,True
requests,9085,1353,623,6152,6,210,3561,75,2320,49524,12841,Python,True,False,True,True,False,False
ionic-framework,13641,1630,452,12847,106,467,20376,22,6349,49003,1058081,TypeScript,True,False,True,True,False,True
Ventoy,3408,604,96,1006,1,418,1386,39,365,48731,211841,C,True,True,True,True,False,True
ML-For-Beginners,9902,860,122,1533,3,,,9,414,48290,179658,Jupyter Notebook,False,False,True,True,True,True
face_recognition,12923,1576,52,238,8,695,577,27,188,48231,103959,Python,True,True,True,True,False,False
prometheus,8142,1137,787,11171,144,615,4445,288,6665,48147,164192,Go,True,True,True,True,False,True
excalidraw,4080,284,240,3076,102,877,1631,157,3698,48075,42585,TypeScript,True,True,True,False,False,True
material-design-icons,9618,1835,30,209,5,209,1038,2,150,48044,1778238,,True,True,False,False,True,False
PayloadsAllTheThings,12572,1665,237,1745,2,,,5,551,47666,16698,Python,False,True,True,False,True,False
obs-studio,6862,1434,554,12782,10,365,2701,234,5274,47591,68673,C,True,True,True,True,True,True
imgui,8448,1029,332,7341,13,719,4076,136,967,47491,98305,C++,True,False,True,True,False,True
guava,10537,2430,286,6053,24,633,2810,107,1571,47452,419774,Java,True,True,True,True,True,False
moment,7139,869,593,3980,37,210,3836,61,1972,47367,20992,JavaScript,True,True,True,False,False,False
you-get,9217,1367,223,2512,3,,,120,925,47332,3752,Python,False,True,True,True,True,False
yt-dlp,3884,353,1119,21671,3,992,3936,188,1765,47247,44224,Python,True,True,True,True,True,True
caddy,3627,814,204,1660,27,71,3331,18,1947,47211,16985,Go,True,False,True,False,False,False
scrapy,9985,1782,518,9783,41,481,2321,253,2813,47176,24601,Python,True,True,False,True,False,False
bulma,3946,604,385,1729,19,190,2273,168,954,47143,102227,CSS,True,True,True,True,True,False
awesome-courses,7990,2292,135,554,2,31,38,15,250,47134,1401,,True,True,True,False,True,False
localstack,3575,522,468,4407,70,321,4136,50,3747,47107,26647,Python,True,True,True,True,True,False
tabby,2825,419,108,5661,70,1379,2809,52,3538,47042,90674,TypeScript,True,True,True,True,True,True
RxJava,7684,2250,291,6028,8,16,3110,5,3770,47005,139728,Java,True,True,True,True,True,False
awesome-flutter,6331,1590,312,1812,2,,,53,861,46728,3290,Dart,False,False,True,False,True,False
jekyll,10082,1420,1008,11639,56,92,4594,112,4257,46640,55898,Ruby,True,True,True,True,True,True
alacritty,2774,463,384,2105,55,327,4538,15,1990,46630,12513,Rust,True,False,True,True,False,False
SecLists,22977,1852,236,1595,1,25,190,12,611,46542,908394,PHP,True,True,True,True,False,False
hacker-scripts,6729,2136,51,150,1,37,39,32,111,46506,105,JavaScript,True,False,True,False,False,False
awesome-android-ui,10298,2822,72,459,2,11,92,13,215,46318,871781,,True,True,True,True,False,False
awesome-cpp,6975,2043,363,1662,2,343,182,75,705,46298,2167,,True,False,True,True,True,True
git,25063,2386,1603,70156,7,,,137,1155,46220,227359,C,False,False,True,False,False,False
prettier,3875,424,628,8430,14,938,5066,233,8372,45568,107531,JavaScript,True,True,True,True,False,True
nuxt,3911,784,453,4140,40,817,11007,53,3734,45276,103387,TypeScript,True,True,True,False,False,True
anime,3653,740,51,736,5,183,495,18,136,45140,49045,JavaScript,True,True,True,True,True,False
awesome-scalability,5034,1765,21,1159,1,,,15,66,45094,1458,,False,False,True,False,True,False
faceswap,12299,1514,87,1723,6,19,786,4,499,44872,201849,Python,True,True,True,False,True,False
big-list-of-naughty-strings,2138,856,72,273,1,61,30,36,123,44828,330,Python,True,True,True,True,False,False
serverless,5584,959,1027,15662,14,973,4972,65,5217,44723,96898,JavaScript,True,False,True,False,False,True
kotlin,5524,1469,584,101176,3456,,,147,4954,44681,1948346,Kotlin,False,False,True,False,False,False
docusaurus,6936,373,1039,5577,30,232,2391,61,5360,44596,245042,TypeScript,True,True,True,False,True,True
